Reactions,sprint_GES1_ARID1A_KO,gimme_GES1_ARID1A_KO,init_GES1_ARID1A_KO,sprint_GES1_ARID1A_KO_Volasertib,gimme_GES1_ARID1A_KO_Volasertib,init_GES1_ARID1A_KO_Volasertib,sprint_GES1_WT_Volasertib,gimme_GES1_WT_Volasertib,init_GES1_WT_Volasertib,sprint_GES_WT,gimme_GES_WT,init_GES_WT,sprint_OVCAR3_ARID1A_KO,gimme_OVCAR3_ARID1A_KO,init_OVCAR3_ARID1A_KO,sprint_OVCAR3_WT,gimme_OVCAR3_WT,init_OVCAR3_WT
10FTHF5GLUtl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10FTHF5GLUtm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10FTHF6GLUtl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10FTHF6GLUtm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10FTHF7GLUtl,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
10FTHF7GLUtm,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
10FTHFtl,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
10FTHFtm,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
11DOCRTSLtm,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
11DOCRTSLtr,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
11DOCRTSTRNtm,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
11DOCRTSTRNtr,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
13DAMPPOX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1a_24_25VITD2Hm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a_25VITD2Hm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1MNCAMti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1PPDCRp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24_25DHVITD2t,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1
24_25DHVITD2tm,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1
24_25DHVITD3t,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1
24_25DHVITD3tm,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1
24_25VITD2Hm,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
24_25VITD3Hm,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
24NPHte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25HVITD2t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25HVITD2tin_m,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
25HVITD3t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25HVITD3tin_m,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
25VITD2Hm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
25VITD3Hm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
2AMACHYD,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
2AMACSULT,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
2AMADPTm,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2DR1PP,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2HBO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2HBt2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2HCO3_NAt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2MCITt,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2OXOADOXm,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
2OXOADPTm,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34DHOXPEGOX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34DHOXPEGt,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
34DHPHAMT,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
34DHPHEt,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34DHPLACOX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34DHPLACOX_NADP_,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34DHXMANDACOX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34DHXMANDACOX_NADP_,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34HPLFM,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
34HPPOR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
35CGMPtn,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1
3AIBTm,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
3AIBtmi,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
3DPHBH1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0
3DPHBH2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3DSPHR,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0
3HAO,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
3HBCDm,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
3HBCOAHLm,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
3HKYNAKGAT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3HLYTCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3M4HDXPAC,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
3MLDAt,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1
3MOBt2im,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0
3MOPt2im,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0
3MOX4HOXPGALDOX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3MOX4HOXPGALDOX_NADP_,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3MOXTYROX,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1
3SALAASPm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3SALACBOXL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3SALAOX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3SALATAi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3SALATAim,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3SPYRSP,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
3SPYRSPm,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
41R1H2MAE12BOOX,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1
41R2A1H12BOOX,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1
42A12BOOX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4ABUTtm,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0
4HBZCOAFm,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0
4HBZFm,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0
4HDEBRISOQUINEte,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0
4HGLSDm,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
4HOXPACDOX_NADP_,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4MOPt2im,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0
4MPTNLte,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1
4MPTNLtm,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1
4MTOLBUTAMIDEte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4NPHSFte,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
4NPHSULT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4NPHte,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
4PYRDX,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
5ADTSTSTERONEGLCte,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1
5ADTSTSTERONEGLCtr,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1
5ADTSTSTERONESte,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1
5ADTSTSTERONESULT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ADTSTSTERONEte,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1
5ADTSTSTERONEtr,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
5AOPtm,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1
5DHFtl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5FTHFt2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
5HLTDL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5HOMEPRAZOLEte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5HOXINDACTO2OX,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
5HOXINOXDA,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1
5HTRPVESSEC,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
5MTHFt,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0
5MTHFt2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5THFtl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5THFtm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6DHFtl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6DHFtm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6HTSTSTERONEte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6HTSTSTERONEtr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6THFtl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6THFtm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7DHCHSTEROLtr,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
7DHFtl,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
7DHFtm,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
7THFtl,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
7THFtm,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
A_MANASEly,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
A4GALTc,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
A4GALTg,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
A4GNT1g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4GNT2g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AACTOOR,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
AACTtm,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1
AASAD3m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AATAi,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ABO1g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABO2g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABO3g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ABO4g,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
ABO5g,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
ABO6g,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
ABO7g,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
ABO8g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ABO9g,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
ABTArm,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0
ABTD,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1
ABTti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ABUTt2rL,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
ABUTt4_2_r,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0
ACACT10m,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACACT1rm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACACT1x,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACACt2m,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACACT4p,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
ACACT5p,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
ACACT6p,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
ACACT7p,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
ACACT8p,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
ACACT9p,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
ACACtx,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
ACALDtm,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
ACALDtr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACALDtx,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
ACCOACm,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACCOAgt,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
ACCOALm,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1
ACCOAtn,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ACCOAtr,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
ACETONEt2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACETONEt2m,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACGAGBSIDEtg,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,1
ACGAGBSIDEtl,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,1
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
ACGALK,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
ACGALK2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACGALtlg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACGALtly,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
ACGAM6PSi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
ACGAMK,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACGAMPM,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACGAMtly,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
ACGBGBSIDEtg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACGBGBSIDEtl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACGPID,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
ACGSm,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
ACHEe,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
ACHtn,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ACHVESSEC,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ACITL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACN13ACNGALGBSIDEte,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1
ACN13ACNGALGBSIDEtg,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1
ACN23ACNGALGBSIDEte,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1
ACN23ACNGALGBSIDEtg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1
ACNACNGAL14ACGLCGALGLUSIDEte,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
ACNACNGAL14ACGLCGALGLUSIDEtg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ACNACNGALGBSIDEte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ACNACNGALGBSIDEtg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ACNAM9PL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
ACNAM9PL2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
ACNAMlt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACNAMPH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACNAMtn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ACNMLr,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1
ACOAD10m,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACOAD1fm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACOAD8m,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACOAD9m,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACOAHi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOAO7p,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACODA,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
ACONTm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACOX22x,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
ACOX2x,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1
ACP1_FMN_,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACRNtm,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
ACS2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACSm,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
ACSRTNMT,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0
ACt2m,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0
ACt2r,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
ACtg,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1
ACTLMO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ACTNMO,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
ADA,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
ADAe,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
ADCim,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
ADEt,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
ADK1m,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADK3,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1
ADK3m,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
ADKd,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
ADMDC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADNCYC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADNK1m,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1
ADNt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADNt4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADNtl,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
ADNtm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADPMAN,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
ADPRIBt,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ADPtx,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
ADRNCOAtx,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1
ADRNCPT1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADRNCPT2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADRNCRNt,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
ADRNLPVESSEC,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
ADRNt,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1
ADSK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADSL1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
ADSL2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
AFLATOXINte,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
AG13T16g,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AG13T17g,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AG13T18g,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AG13T1g,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AG13T2g,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AG13T3g,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AGMTm,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
AGPAT1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AGTim,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
AGTix,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
AHANDROSTANGLCte,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1
AHANDROSTANGLCtr,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1
AHCYStr,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1
AHEXASE2ly,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AHEXASEly,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
AIRCr,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AKGDm,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
AKGMALtm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AKGt4_3,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AKGtp,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
AKR1C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKR1C41,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
AKR1C42,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0
AKR1D,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AKR1D2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ALAASNNaEx,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALACYSNaEx,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALADGLNexR,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
ALADGLYexR,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
ALAGLNexR,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
ALAGLNNaEx,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALAGLYexR,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
ALASERNaEx,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALASm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALAt4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALATA_L,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
ALATHRNaEx,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALAtN1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
ALCD21_D,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALCD21_L,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALCD22_D,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALCD22_L,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALCD2if,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALCD2yf,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALDD20x,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALDD20xm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALDD21,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
ALDD2xm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALDD2y,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALDSTRNte,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
ALDSTRNtm,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
ALOX12,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
